"","id","tip_amount"
"1",160929,1.0952730178833
"2",160930,2.89270377159119
"3",160931,2.60188341140747
"4",160932,1.75619888305664
"5",160933,3.66159129142761
"6",160934,-0.38207221031189
"7",160935,1.778639793396
"8",160936,1.61401271820068
"9",160937,1.90887522697449
"10",160938,2.25224018096924
"11",160939,0.0741259753704071
"12",160940,1.78643882274628
"13",160941,-0.16176164150238
"14",160942,1.89898204803467
"15",160943,1.86582267284393
"16",160944,-0.0469779372215271
"17",160945,0.104388564825058
"18",160946,0.258004575967789
"19",160947,2.39212989807129
"20",160948,2.90338230133057
"21",160949,1.35162997245789
"22",160950,2.55546498298645
"23",160951,7.39444923400879
"24",160952,2.90589070320129
"25",160953,2.82575011253357
"26",160954,2.90254592895508
"27",160955,1.90270352363586
"28",160956,3.06216144561768
"29",160957,2.91981673240662
"30",160958,2.85408020019531
"31",160959,2.12721967697144
"32",160960,2.78416204452515
"33",160961,1.4130300283432
"34",160962,1.83084058761597
"35",160963,2.42880296707153
"36",160964,2.26872825622559
"37",160965,1.98738420009613
"38",160966,1.9865471124649
"39",160967,2.41023635864258
"40",160968,3.20116066932678
"41",160969,1.38943552970886
"42",160970,3.40171670913696
"43",160971,1.21700572967529
"44",160972,2.0776104927063
"45",160973,1.1595196723938
"46",160974,1.85171663761139
"47",160975,1.65957057476044
"48",160976,2.19630122184753
"49",160977,2.19797372817993
"50",160978,1.91997420787811
"51",160979,2.57273530960083
"52",160980,2.2720730304718
"53",160981,2.07875347137451
"54",160982,0.293161928653717
"55",160983,2.35340809822083
"56",160984,3.15353107452393
"57",160985,2.59167885780334
"58",160986,2.35340809822083
"59",160987,1.69751942157745
"60",160988,2.56976771354675
"61",160989,1.28454828262329
"62",160990,1.12404561042786
"63",160991,3.79419207572937
"64",160992,2.63884902000427
"65",160993,5.40706348419189
"66",160994,2.07958984375
"67",160995,3.49893975257874
"68",160996,-0.00241389870643616
"69",160997,1.37881183624268
"70",160998,2.21775341033936
"71",160999,4.2392463684082
"72",161000,2.35758924484253
"73",161001,2.35758924484253
"74",161002,3.77467131614685
"75",161003,2.21524453163147
"76",161004,2.07958984375
"77",161005,1.68340528011322
"78",161006,2.07708120346069
"79",161007,2.94210505485535
